Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3439849,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3463460,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3486978,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3511029,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3534092,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3557703,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3581263,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3605139,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3628809,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3653766,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3675461,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3698990,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3722580,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3746138,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3769692,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3795180,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3816805,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3840594,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3863909,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3887976,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3915421,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3934856,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3958401,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
3981941,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4005238,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4029038,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
