Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4295391160,00000610,false,Rx,0,8,20,00,00,64,C0,FF,FD,74,
4295392192,000004A8,false,Rx,0,8,00,07,80,00,00,00,00,04,
4295392685,00000260,false,Rx,0,8,00,00,02,00,00,00,00,6C,
4295395233,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
4295395458,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4295395620,000001AA,false,Rx,0,6,00,00,00,00,00,B1,00,00,
4295395894,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4295401670,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4295401675,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
4295401681,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4295401728,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4295401733,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
4295401739,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4295402010,00000024,false,Rx,0,8,02,02,01,F5,62,1A,80,22,
4295402119,0000032A,false,Rx,0,2,00,2F,00,00,00,00,00,00,
4295402389,0000049E,false,Rx,0,8,00,80,00,C0,01,B8,02,4B,
4295403262,0000045C,false,Rx,0,8,5F,02,00,20,08,00,00,00,
4295404455,0000049F,false,Rx,0,8,00,44,D0,00,00,00,00,00,
4295407386,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4295407554,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4295407827,00000320,false,Rx,0,8,44,20,04,00,00,00,00,93,
4295409837,00000626,false,Rx,0,8,1C,00,00,00,00,00,00,00,
4295410492,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
4295410873,00000387,false,Rx,0,8,00,00,00,00,00,00,3F,3F,
4295412773,00000260,false,Rx,0,8,00,00,01,00,00,00,00,6B,
4295413312,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4295413590,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4295413811,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4295414081,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4295414298,00000024,false,Rx,0,8,02,02,01,F5,62,1A,80,22,
4295414522,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4295420524,00000389,false,Rx,0,8,00,20,00,00,00,00,00,00,
4295420530,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
